Name,URL,Description,Process,Variety,all_combined,exlc_name_combined
Kenya Nyeri Chinga AB,https://www.sweetmarias.com/kenya-nyeri-chinga-ab-6920.html,"Caramel and butterscotch sweetness are prevalent at City and City+, yielding to fruited notes of peach, berry compote, apricot nectar, orange zest, and lemon-like citrus acidity. Light and bright is where I like it. City to City+.",Wet Washed,Bourbon,"Kenya Nyeri Chinga AB, Caramel and butterscotch sweetness are prevalent at City and City+, yielding to fruited notes of peach, berry compote, apricot nectar, orange zest, and lemon-like citrus acidity. Light and bright is where I like it. City to City+., Wet Washed, Bourbon","Caramel and butterscotch sweetness are prevalent at City and City+, yielding to fruited notes of peach, berry compote, apricot nectar, orange zest, and lemon-like citrus acidity. Light and bright is where I like it. City to City+., Wet Washed, Bourbon"
Kenya Nyeri Chinga Peaberry,https://www.sweetmarias.com/kenya-nyeri-chinga-peaberry-6480.html,"Grounding sweetness is fully developed at City+, flavor notes of black strap molasses, brown sugar cookie dough, subtle hints of raisin, blackberry and grape. City+ to Full City.",Wet Washed,Bourbon,"Kenya Nyeri Chinga Peaberry, Grounding sweetness is fully developed at City+, flavor notes of black strap molasses, brown sugar cookie dough, subtle hints of raisin, blackberry and grape. City+ to Full City., Wet Washed, Bourbon","Grounding sweetness is fully developed at City+, flavor notes of black strap molasses, brown sugar cookie dough, subtle hints of raisin, blackberry and grape. City+ to Full City., Wet Washed, Bourbon"
Kenya Nyeri Gachatha AB,https://www.sweetmarias.com/kenya-nyeri-gachatha-ab-6508.html,"Light roasts have flavors of pulpy orange, dried currant, piquant black tea and lemon rind while Full City produces more of a berry-toned, chocolatey cup profile with accents of grape jelly. City to Full City.",Wet Washed,Bourbon,"Kenya Nyeri Gachatha AB, Light roasts have flavors of pulpy orange, dried currant, piquant black tea and lemon rind while Full City produces more of a berry-toned, chocolatey cup profile with accents of grape jelly. City to Full City., Wet Washed, Bourbon","Light roasts have flavors of pulpy orange, dried currant, piquant black tea and lemon rind while Full City produces more of a berry-toned, chocolatey cup profile with accents of grape jelly. City to Full City., Wet Washed, Bourbon"
Kenya Nyeri Gatomboya Peaberry,https://www.sweetmarias.com/kenya-nyeri-gatomboya-peaberry-6883.html,"Gatomboya Peaberry has intense cup flavors, complex raw sugars, with a multiplicity of fruited notes like grape, blackberry, plum tea, and blood orange. Acidity pops, brisk like black tea, with some stone fruit vibrance. City to Full City.",Wet Washed,Bourbon,"Kenya Nyeri Gatomboya Peaberry, Gatomboya Peaberry has intense cup flavors, complex raw sugars, with a multiplicity of fruited notes like grape, blackberry, plum tea, and blood orange. Acidity pops, brisk like black tea, with some stone fruit vibrance. City to Full City., Wet Washed, Bourbon","Gatomboya Peaberry has intense cup flavors, complex raw sugars, with a multiplicity of fruited notes like grape, blackberry, plum tea, and blood orange. Acidity pops, brisk like black tea, with some stone fruit vibrance. City to Full City., Wet Washed, Bourbon"
Kenya Nyeri Gatugi AA,https://www.sweetmarias.com/kenya-nyeri-gatugi-aa-6917.html,"Juicy fruited profile that unfolds to notes of ripe apricot and nectarine, black cherry, mixed berries, fruit jam, fresh plum and fig, with immense sweetness anchoring the cup. Very nice Kenyan coffee. City to City+.",Wet Washed,Bourbon,"Kenya Nyeri Gatugi AA, Juicy fruited profile that unfolds to notes of ripe apricot and nectarine, black cherry, mixed berries, fruit jam, fresh plum and fig, with immense sweetness anchoring the cup. Very nice Kenyan coffee. City to City+., Wet Washed, Bourbon","Juicy fruited profile that unfolds to notes of ripe apricot and nectarine, black cherry, mixed berries, fruit jam, fresh plum and fig, with immense sweetness anchoring the cup. Very nice Kenyan coffee. City to City+., Wet Washed, Bourbon"
Kenya Nyeri Ichamama AB ,https://www.sweetmarias.com/kenya-nyeri-ichamama-ab-6491.html,"Grabby citrus flavors like pink grapefruit and kumquat are buttressed by panela and caramelizing sugar sweetness, and a hint of cranberry sauce. Shimmering acidity. City to Full City.",Wet Washed,Bourbon,"Kenya Nyeri Ichamama AB , Grabby citrus flavors like pink grapefruit and kumquat are buttressed by panela and caramelizing sugar sweetness, and a hint of cranberry sauce. Shimmering acidity. City to Full City., Wet Washed, Bourbon","Grabby citrus flavors like pink grapefruit and kumquat are buttressed by panela and caramelizing sugar sweetness, and a hint of cranberry sauce. Shimmering acidity. City to Full City., Wet Washed, Bourbon"
Kenya Nyeri Ichamama AB,https://www.sweetmarias.com/kenya-nyeri-ichamama-ab-6635.html,"A buttery honey sweetness leaves an aromatic imprint on the cup profile, with notes of cranberry-apple juice, bittersweet grapefruit, dark brown sugar, and a berry hint. City to Full City.",Wet Washed,Bourbon,"Kenya Nyeri Ichamama AB, A buttery honey sweetness leaves an aromatic imprint on the cup profile, with notes of cranberry-apple juice, bittersweet grapefruit, dark brown sugar, and a berry hint. City to Full City., Wet Washed, Bourbon","A buttery honey sweetness leaves an aromatic imprint on the cup profile, with notes of cranberry-apple juice, bittersweet grapefruit, dark brown sugar, and a berry hint. City to Full City., Wet Washed, Bourbon"
Kenya Nyeri Ichamama AB,https://www.sweetmarias.com/kenya-nyeri-ichamama-ab-6916.html,"A black currant jelly note leaves an aromatic imprint on the cup profile, with notes of sucanat sugar, dark berry, tangy lemon zest, green tea, and spiced aroma of ginger and five spice powder. City to Full City.",Wet Washed,Bourbon,"Kenya Nyeri Ichamama AB, A black currant jelly note leaves an aromatic imprint on the cup profile, with notes of sucanat sugar, dark berry, tangy lemon zest, green tea, and spiced aroma of ginger and five spice powder. City to Full City., Wet Washed, Bourbon","A black currant jelly note leaves an aromatic imprint on the cup profile, with notes of sucanat sugar, dark berry, tangy lemon zest, green tea, and spiced aroma of ginger and five spice powder. City to Full City., Wet Washed, Bourbon"
Kenya Nyeri Ichamama Peaberry,https://www.sweetmarias.com/kenya-nyeri-ichamama-peaberry-6489.html,"Ichamama brews up fruited flavors of cranberry juice, blackberry, pomegranate, tamarind, as well as hefty body and a vibrance that indicates tart berry and citrus juice. City to Full City.",Wet Washed,Bourbon,"Kenya Nyeri Ichamama Peaberry, Ichamama brews up fruited flavors of cranberry juice, blackberry, pomegranate, tamarind, as well as hefty body and a vibrance that indicates tart berry and citrus juice. City to Full City., Wet Washed, Bourbon","Ichamama brews up fruited flavors of cranberry juice, blackberry, pomegranate, tamarind, as well as hefty body and a vibrance that indicates tart berry and citrus juice. City to Full City., Wet Washed, Bourbon"
Kenya Nyeri Ichuga AA,https://www.sweetmarias.com/kenya-nyeri-ichuga-aa-6830.html,"Juicy mouthfeel buoys flavors of plump berry and fruit juice, with tart citrus-like acidity, accents of clove, cranberry juice, fruited tea, and a backdrop of raw sugars bump up the sweetness score. City to Full City.",Wet Washed,Bourbon,"Kenya Nyeri Ichuga AA, Juicy mouthfeel buoys flavors of plump berry and fruit juice, with tart citrus-like acidity, accents of clove, cranberry juice, fruited tea, and a backdrop of raw sugars bump up the sweetness score. City to Full City., Wet Washed, Bourbon","Juicy mouthfeel buoys flavors of plump berry and fruit juice, with tart citrus-like acidity, accents of clove, cranberry juice, fruited tea, and a backdrop of raw sugars bump up the sweetness score. City to Full City., Wet Washed, Bourbon"
Kenya Nyeri Ichuga Factory,https://www.sweetmarias.com/kenya-nyeri-ichuga-factory-6822.html,"Mix of AB beans and peaberries, intense flavor, yields outstanding berry-like acidic impression, a mix of tart and ripe fruit flavors, red currant, boysenberry, lemon spritz, and a Zinfandel wine note. City to Full City.",Wet Washed,Bourbon,"Kenya Nyeri Ichuga Factory, Mix of AB beans and peaberries, intense flavor, yields outstanding berry-like acidic impression, a mix of tart and ripe fruit flavors, red currant, boysenberry, lemon spritz, and a Zinfandel wine note. City to Full City., Wet Washed, Bourbon","Mix of AB beans and peaberries, intense flavor, yields outstanding berry-like acidic impression, a mix of tart and ripe fruit flavors, red currant, boysenberry, lemon spritz, and a Zinfandel wine note. City to Full City., Wet Washed, Bourbon"
Kenya Nyeri Kamoini AB,https://www.sweetmarias.com/kenya-nyeri-kamoini-ab-6483.html,"Corn syrup and cane juice, citrus hints of nectarine and grapefruit, and a hoppy finishing note like Belgian ale. Middle roasts are bittersweet with dark berry note. City to Full City.",Wet Washed,Bourbon,"Kenya Nyeri Kamoini AB, Corn syrup and cane juice, citrus hints of nectarine and grapefruit, and a hoppy finishing note like Belgian ale. Middle roasts are bittersweet with dark berry note. City to Full City., Wet Washed, Bourbon","Corn syrup and cane juice, citrus hints of nectarine and grapefruit, and a hoppy finishing note like Belgian ale. Middle roasts are bittersweet with dark berry note. City to Full City., Wet Washed, Bourbon"
Kenya Nyeri Kamoini Peaberry,https://www.sweetmarias.com/kenya-nyeri-kamoini-peaberry-6484.html,"Bodied, a plump blackberry note, fruits cooked with brown sugar like pineapple upside down cake, accents of clove and nutmeg, and blueberry acidic impression. City to Full City. Good for espresso.",Wet Washed,Bourbon,"Kenya Nyeri Kamoini Peaberry, Bodied, a plump blackberry note, fruits cooked with brown sugar like pineapple upside down cake, accents of clove and nutmeg, and blueberry acidic impression. City to Full City. Good for espresso., Wet Washed, Bourbon","Bodied, a plump blackberry note, fruits cooked with brown sugar like pineapple upside down cake, accents of clove and nutmeg, and blueberry acidic impression. City to Full City. Good for espresso., Wet Washed, Bourbon"
Kenya Nyeri Karatina Peaberry,https://www.sweetmarias.com/kenya-nyeri-karatina-peaberry-6884.html,"Delicious Kenyan characteristics - juicy citrus, plump fruits flavors, and bracing tea notes. Look for aspects of pineapple, orange juice, guava, herbal and black teas, cardamom aroma, and a citrus rind bite. City to Full City.",Wet Washed,Bourbon,"Kenya Nyeri Karatina Peaberry, Delicious Kenyan characteristics - juicy citrus, plump fruits flavors, and bracing tea notes. Look for aspects of pineapple, orange juice, guava, herbal and black teas, cardamom aroma, and a citrus rind bite. City to Full City., Wet Washed, Bourbon","Delicious Kenyan characteristics - juicy citrus, plump fruits flavors, and bracing tea notes. Look for aspects of pineapple, orange juice, guava, herbal and black teas, cardamom aroma, and a citrus rind bite. City to Full City., Wet Washed, Bourbon"
Kenya Nyeri Kiandu AB,https://www.sweetmarias.com/kenya-nyeri-kiandu-ab-6509.html,"A complex Kenya with flavor notes of orange spice, caramelizing sugars, black cherry, pomegranate, grape and an aromatic finish of cardamom, all-spice and clove powders. City to Full City.",Wet Washed,Bourbon,"Kenya Nyeri Kiandu AB, A complex Kenya with flavor notes of orange spice, caramelizing sugars, black cherry, pomegranate, grape and an aromatic finish of cardamom, all-spice and clove powders. City to Full City., Wet Washed, Bourbon","A complex Kenya with flavor notes of orange spice, caramelizing sugars, black cherry, pomegranate, grape and an aromatic finish of cardamom, all-spice and clove powders. City to Full City., Wet Washed, Bourbon"
Kenya Nyeri Kiruga AB,https://www.sweetmarias.com/kenya-nyeri-kiruga-ab-6486.html,"Depth of sweetness (scoring 9.5!), raw sugars, fruit jam hints, fig, dried berry and a spiced grape juice note as it cools. Moderate brightness and capable of berry-laden cocoa when roasted dark. City to Full City.",Wet Washed,Bourbon,"Kenya Nyeri Kiruga AB, Depth of sweetness (scoring 9.5!), raw sugars, fruit jam hints, fig, dried berry and a spiced grape juice note as it cools. Moderate brightness and capable of berry-laden cocoa when roasted dark. City to Full City., Wet Washed, Bourbon","Depth of sweetness (scoring 9.5!), raw sugars, fruit jam hints, fig, dried berry and a spiced grape juice note as it cools. Moderate brightness and capable of berry-laden cocoa when roasted dark. City to Full City., Wet Washed, Bourbon"
Kenya Nyeri Kiruga Peaberry,https://www.sweetmarias.com/kenya-nyeri-kiruga-peaberry-6487.html,"Bright, citric, with a succinct, clean finish, layers of sweetness are peeled back, notes of panela, maple, cane juice, along with all-spice, chamomile tea, golden raisin, grape and apricot. City to Full City+.",Wet Washed,Bourbon,"Kenya Nyeri Kiruga Peaberry, Bright, citric, with a succinct, clean finish, layers of sweetness are peeled back, notes of panela, maple, cane juice, along with all-spice, chamomile tea, golden raisin, grape and apricot. City to Full City+., Wet Washed, Bourbon","Bright, citric, with a succinct, clean finish, layers of sweetness are peeled back, notes of panela, maple, cane juice, along with all-spice, chamomile tea, golden raisin, grape and apricot. City to Full City+., Wet Washed, Bourbon"
Kenya Nyeri Kiruga Peaberry,https://www.sweetmarias.com/kenya-nyeri-kiruga-peaberry-6924.html,"Aromatic spice hints and sweet fruited notes, pink grapefruit, tangerine, a nectarine flavor feeds into acidity, hint of lemon and berry, a torched sugar note adds a pungent aspect to the sweet finish. City to Full City.",Wet Washed,Bourbon,"Kenya Nyeri Kiruga Peaberry, Aromatic spice hints and sweet fruited notes, pink grapefruit, tangerine, a nectarine flavor feeds into acidity, hint of lemon and berry, a torched sugar note adds a pungent aspect to the sweet finish. City to Full City., Wet Washed, Bourbon","Aromatic spice hints and sweet fruited notes, pink grapefruit, tangerine, a nectarine flavor feeds into acidity, hint of lemon and berry, a torched sugar note adds a pungent aspect to the sweet finish. City to Full City., Wet Washed, Bourbon"
Kenya Nyeri Rukira AA,https://www.sweetmarias.com/kenya-nyeri-rukira-aa-6922.html,"This AA lot from Rukira is something special, fruit flavors of berry juice, ripe pineapple, tropical fruits, plum, tart pomegranate, floral-fruit aromatics, and a grapefruit accent that adds a nice, bright citrus high note. City to City+.",Wet Washed,Bourbon,"Kenya Nyeri Rukira AA, This AA lot from Rukira is something special, fruit flavors of berry juice, ripe pineapple, tropical fruits, plum, tart pomegranate, floral-fruit aromatics, and a grapefruit accent that adds a nice, bright citrus high note. City to City+., Wet Washed, Bourbon","This AA lot from Rukira is something special, fruit flavors of berry juice, ripe pineapple, tropical fruits, plum, tart pomegranate, floral-fruit aromatics, and a grapefruit accent that adds a nice, bright citrus high note. City to City+., Wet Washed, Bourbon"
Kenya Nyeri Rukira AA,https://www.sweetmarias.com/kenya-nyeri-rukira-aa-6636.html,"Layers of sweet flavor notes like buttery toffee and caramelized sugar fill out Rukira's bottom end, with hints of blackberry, pomegranate, plum and grapefruit. City to Full City. Good for espresso.",Wet Washed,Bourbon,"Kenya Nyeri Rukira AA, Layers of sweet flavor notes like buttery toffee and caramelized sugar fill out Rukira's bottom end, with hints of blackberry, pomegranate, plum and grapefruit. City to Full City. Good for espresso., Wet Washed, Bourbon","Layers of sweet flavor notes like buttery toffee and caramelized sugar fill out Rukira's bottom end, with hints of blackberry, pomegranate, plum and grapefruit. City to Full City. Good for espresso., Wet Washed, Bourbon"
Kenya Othaya Cooperative Peaberry,https://www.sweetmarias.com/kenya-othaya-cooperative-peaberry-6634.html,"Brews up a nicely fruited cup, spiced elements sensed in aroma and flavor, with dark, unrefined sugar sweetness, citrus peel, raisin, dark grape, dried tamarind and pomegranate. City to Full City. Good for espresso.",Wet Washed,Bourbon,"Kenya Othaya Cooperative Peaberry, Brews up a nicely fruited cup, spiced elements sensed in aroma and flavor, with dark, unrefined sugar sweetness, citrus peel, raisin, dark grape, dried tamarind and pomegranate. City to Full City. Good for espresso., Wet Washed, Bourbon","Brews up a nicely fruited cup, spiced elements sensed in aroma and flavor, with dark, unrefined sugar sweetness, citrus peel, raisin, dark grape, dried tamarind and pomegranate. City to Full City. Good for espresso., Wet Washed, Bourbon"
Kenya Thika Elik Farm AA,https://www.sweetmarias.com/kenya-thika-elik-farm-aa-6824.html,"Well developed sweetness, even when roasted light, accented by notes of lemon balm, green tea and hints of baking spices and dried fruit lead to a flavor profile akin to a fruit chutney. City to City+.",Wet Washed,Bourbon,"Kenya Thika Elik Farm AA, Well developed sweetness, even when roasted light, accented by notes of lemon balm, green tea and hints of baking spices and dried fruit lead to a flavor profile akin to a fruit chutney. City to City+., Wet Washed, Bourbon","Well developed sweetness, even when roasted light, accented by notes of lemon balm, green tea and hints of baking spices and dried fruit lead to a flavor profile akin to a fruit chutney. City to City+., Wet Washed, Bourbon"
Kenya Wakulima Ndogo Peaberry,https://www.sweetmarias.com/kenya-wakulima-ndogo-peaberry-6819.html,"Spice-forward flavor notes contrast underlying caramel sweetness, notes of cinnamon steeped tea, cardamom, bergamot, English Breakfast tea, and fruited hints of apple and Bosc pear. City to Full City.",Wet Washed,Bourbon,"Kenya Wakulima Ndogo Peaberry, Spice-forward flavor notes contrast underlying caramel sweetness, notes of cinnamon steeped tea, cardamom, bergamot, English Breakfast tea, and fruited hints of apple and Bosc pear. City to Full City., Wet Washed, Bourbon","Spice-forward flavor notes contrast underlying caramel sweetness, notes of cinnamon steeped tea, cardamom, bergamot, English Breakfast tea, and fruited hints of apple and Bosc pear. City to Full City., Wet Washed, Bourbon"
Rwanda Anaerobic Fermentation Kanyege,https://www.sweetmarias.com/rwanda-anaerobic-fermentation-kanyege-6731.html,"A balanced, bright coffee, with an interesting mix of heft, in terms of a juicy mouthfeel, and delicate tea notes of English Breakfast and Sencha. Transparent sweetness, subtle pear hint, and caramel popcorn note in the aftertaste. City to City+",,Bourbon,"Rwanda Anaerobic Fermentation Kanyege, A balanced, bright coffee, with an interesting mix of heft, in terms of a juicy mouthfeel, and delicate tea notes of English Breakfast and Sencha. Transparent sweetness, subtle pear hint, and caramel popcorn note in the aftertaste. City to City+, , Bourbon","A balanced, bright coffee, with an interesting mix of heft, in terms of a juicy mouthfeel, and delicate tea notes of English Breakfast and Sencha. Transparent sweetness, subtle pear hint, and caramel popcorn note in the aftertaste. City to City+, , Bourbon"
Rwanda Dry Process Kanyege,https://www.sweetmarias.com/rwanda-dry-process-kanyege-6735.html,"Aromatic stone fruit and blueberry contrasted by rustic dried fruits in the aftertaste, date, prune, and a mild tobacco note. Punctuated bittersweetness when roasted dark. City to Full City+.",Dry Natural,Bourbon,"Rwanda Dry Process Kanyege, Aromatic stone fruit and blueberry contrasted by rustic dried fruits in the aftertaste, date, prune, and a mild tobacco note. Punctuated bittersweetness when roasted dark. City to Full City+., Dry Natural, Bourbon","Aromatic stone fruit and blueberry contrasted by rustic dried fruits in the aftertaste, date, prune, and a mild tobacco note. Punctuated bittersweetness when roasted dark. City to Full City+., Dry Natural, Bourbon"
Rwanda Dry Process Nyakabingo,https://www.sweetmarias.com/rwanda-dry-process-nyakabingo-6736.html,"Middle roasts move beyond molasses sweetness, to fruit and spice flavors, notes of berry-infused dark chocolate, plum, overripe citrus, and a hint of heart of palm in the finish. City+ to Full City.",Dry Natural,Bourbon,"Rwanda Dry Process Nyakabingo, Middle roasts move beyond molasses sweetness, to fruit and spice flavors, notes of berry-infused dark chocolate, plum, overripe citrus, and a hint of heart of palm in the finish. City+ to Full City., Dry Natural, Bourbon","Middle roasts move beyond molasses sweetness, to fruit and spice flavors, notes of berry-infused dark chocolate, plum, overripe citrus, and a hint of heart of palm in the finish. City+ to Full City., Dry Natural, Bourbon"
Rwanda Gitwe Peaberry,https://www.sweetmarias.com/rwanda-gitwe-peaberry-6738.html,"Complex spiced cup profile, aromatic notes of clove and all spice, cinnamon spiced bran muffin, grounding raw sugar sweetness, and a finishing note like a long-steeped English Breakfast tea. City to City+.",Wet Washed,Bourbon,"Rwanda Gitwe Peaberry, Complex spiced cup profile, aromatic notes of clove and all spice, cinnamon spiced bran muffin, grounding raw sugar sweetness, and a finishing note like a long-steeped English Breakfast tea. City to City+., Wet Washed, Bourbon","Complex spiced cup profile, aromatic notes of clove and all spice, cinnamon spiced bran muffin, grounding raw sugar sweetness, and a finishing note like a long-steeped English Breakfast tea. City to City+., Wet Washed, Bourbon"
Rwanda Karongi Gitesi,https://www.sweetmarias.com/rwanda-karongi-gitesi-6741.html,"Dominant raw sugar sweetness, black and green teas, mandarin and apple accents, and a crisp finish. Elegant pour over and darker roasts double nicely as espresso. City to Full City. Good for espresso.",Wet Washed,Bourbon,"Rwanda Karongi Gitesi, Dominant raw sugar sweetness, black and green teas, mandarin and apple accents, and a crisp finish. Elegant pour over and darker roasts double nicely as espresso. City to Full City. Good for espresso., Wet Washed, Bourbon","Dominant raw sugar sweetness, black and green teas, mandarin and apple accents, and a crisp finish. Elegant pour over and darker roasts double nicely as espresso. City to Full City. Good for espresso., Wet Washed, Bourbon"
Rwanda Kivu Kageyo,https://www.sweetmarias.com/rwanda-kivu-kageyo-6744.html,"Shows well under a variety of roasts, the cup reveals layers of muscovado sugar, cinnamon stick, clove, tea-like brightness, and a chocolate ganache bittersweetness in dark roasts. City to Full City+. Good espresso.",Wet Washed,Bourbon,"Rwanda Kivu Kageyo, Shows well under a variety of roasts, the cup reveals layers of muscovado sugar, cinnamon stick, clove, tea-like brightness, and a chocolate ganache bittersweetness in dark roasts. City to Full City+. Good espresso., Wet Washed, Bourbon","Shows well under a variety of roasts, the cup reveals layers of muscovado sugar, cinnamon stick, clove, tea-like brightness, and a chocolate ganache bittersweetness in dark roasts. City to Full City+. Good espresso., Wet Washed, Bourbon"
Rwanda Ngororero,https://www.sweetmarias.com/rwanda-ngororero-6730.html,"Versatile, light roasts bring out raw sugar, honey aroma and lemon oil, whereas Full City ties together chocolate bittersweets, graham cracker, and anise accent. City to Full City+. Good for espresso.",Wet Washed,Bourbon,"Rwanda Ngororero, Versatile, light roasts bring out raw sugar, honey aroma and lemon oil, whereas Full City ties together chocolate bittersweets, graham cracker, and anise accent. City to Full City+. Good for espresso., Wet Washed, Bourbon","Versatile, light roasts bring out raw sugar, honey aroma and lemon oil, whereas Full City ties together chocolate bittersweets, graham cracker, and anise accent. City to Full City+. Good for espresso., Wet Washed, Bourbon"
Rwanda Nyamasheke Gatare Peaberry,https://www.sweetmarias.com/rwanda-nyamasheke-gatare-peaberry-6739.html,"Aspects of semi-refined sugars, fruited acidity, laced with hints of warming spice, orange tea, and dried apple. Deep chocolate roast flavors with darker roast develoment. City to Full City+. Good for espresso.",Wet Washed,Bourbon,"Rwanda Nyamasheke Gatare Peaberry, Aspects of semi-refined sugars, fruited acidity, laced with hints of warming spice, orange tea, and dried apple. Deep chocolate roast flavors with darker roast develoment. City to Full City+. Good for espresso., Wet Washed, Bourbon","Aspects of semi-refined sugars, fruited acidity, laced with hints of warming spice, orange tea, and dried apple. Deep chocolate roast flavors with darker roast develoment. City to Full City+. Good for espresso., Wet Washed, Bourbon"
Rwanda Nyamasheke Macuba,https://www.sweetmarias.com/rwanda-nyamasheke-macuba-6729.html,"Macuba shows a subtle spiced aroma, with flavors of torched sugar, vanilla caramel, dark toffee, molasses, and a hint of spiced rum. City to Full City.",Wet Washed,Bourbon,"Rwanda Nyamasheke Macuba, Macuba shows a subtle spiced aroma, with flavors of torched sugar, vanilla caramel, dark toffee, molasses, and a hint of spiced rum. City to Full City., Wet Washed, Bourbon","Macuba shows a subtle spiced aroma, with flavors of torched sugar, vanilla caramel, dark toffee, molasses, and a hint of spiced rum. City to Full City., Wet Washed, Bourbon"
Rwanda Nyamasheke Mutovu,https://www.sweetmarias.com/rwanda-nyamasheke-mutovu-6740.html,"Aromatic sweetness, butterscotch candy, panela sugar, with lovely accent notes of golden raisin, apple, warming spice, vanilla, orange oil and a tannic hint of black tea. City to Full City. Good for espresso.",Wet Washed,Bourbon,"Rwanda Nyamasheke Mutovu, Aromatic sweetness, butterscotch candy, panela sugar, with lovely accent notes of golden raisin, apple, warming spice, vanilla, orange oil and a tannic hint of black tea. City to Full City. Good for espresso., Wet Washed, Bourbon","Aromatic sweetness, butterscotch candy, panela sugar, with lovely accent notes of golden raisin, apple, warming spice, vanilla, orange oil and a tannic hint of black tea. City to Full City. Good for espresso., Wet Washed, Bourbon"
Rwanda Rulindo Tumba,https://www.sweetmarias.com/rwanda-rulindo-tumba-6743.html,"Torched sugar with accents of red berry, fig, and tamarind hard candy. Spiced chocolate and dried date when roasted dark, and heavy body like soy milk. City to Full City. Good for espresso.",Wet Washed,Bourbon,"Rwanda Rulindo Tumba, Torched sugar with accents of red berry, fig, and tamarind hard candy. Spiced chocolate and dried date when roasted dark, and heavy body like soy milk. City to Full City. Good for espresso., Wet Washed, Bourbon","Torched sugar with accents of red berry, fig, and tamarind hard candy. Spiced chocolate and dried date when roasted dark, and heavy body like soy milk. City to Full City. Good for espresso., Wet Washed, Bourbon"
Rwanda Rusizi Nyakarenzo,https://www.sweetmarias.com/rwanda-rusizi-nyakarenzo-6776.html,"Tea-like top notes and mouth cleansing acidity found in light roasts make for an elegant pour-over. Transparent sweetness, simple syrup, delicate tea notes of Assam and apple-y Chamomile. City to City+.",Wet Washed,Bourbon,"Rwanda Rusizi Nyakarenzo, Tea-like top notes and mouth cleansing acidity found in light roasts make for an elegant pour-over. Transparent sweetness, simple syrup, delicate tea notes of Assam and apple-y Chamomile. City to City+., Wet Washed, Bourbon","Tea-like top notes and mouth cleansing acidity found in light roasts make for an elegant pour-over. Transparent sweetness, simple syrup, delicate tea notes of Assam and apple-y Chamomile. City to City+., Wet Washed, Bourbon"
Rwanda Rutsiro Mushonyi,https://www.sweetmarias.com/rwanda-rutsiro-mushonyi-6777.html,"A matrix of honey and caramel sweetness, along with top notes of aromatic Earl Grey, apple butter, clove spice and structuring acidic impression like iced black tea. City to Full City. Good for espresso.",Wet Washed,Bourbon,"Rwanda Rutsiro Mushonyi, A matrix of honey and caramel sweetness, along with top notes of aromatic Earl Grey, apple butter, clove spice and structuring acidic impression like iced black tea. City to Full City. Good for espresso., Wet Washed, Bourbon","A matrix of honey and caramel sweetness, along with top notes of aromatic Earl Grey, apple butter, clove spice and structuring acidic impression like iced black tea. City to Full City. Good for espresso., Wet Washed, Bourbon"
Rwanda Yellow Honey Kanyege,https://www.sweetmarias.com/rwanda-yellow-honey-kanyege-6732.html,"Spiced fragrance, aromatic maple, and candy corn Halloween candies, with vivid acidic impression underscored by hints of tart green apple and iced black tea. City to Full City.",Honey,Bourbon,"Rwanda Yellow Honey Kanyege, Spiced fragrance, aromatic maple, and candy corn Halloween candies, with vivid acidic impression underscored by hints of tart green apple and iced black tea. City to Full City., Honey, Bourbon","Spiced fragrance, aromatic maple, and candy corn Halloween candies, with vivid acidic impression underscored by hints of tart green apple and iced black tea. City to Full City., Honey, Bourbon"
 Tanzania Karatu Heights Estate AA,https://www.sweetmarias.com/tanzania-karatu-heights-estate-aa-6817.html,"Fans of Guatemala Xinabajul coffees take note: convincing cocoa and nut flavors at City+/Full City, sucanat, corn syrup, toasted sesame, with moderate tea-like acidity and buoyant body. City+ to Full City+. Good for espresso.",Wet Washed,Bourbon," Tanzania Karatu Heights Estate AA, Fans of Guatemala Xinabajul coffees take note: convincing cocoa and nut flavors at City+/Full City, sucanat, corn syrup, toasted sesame, with moderate tea-like acidity and buoyant body. City+ to Full City+. Good for espresso., Wet Washed, Bourbon","Fans of Guatemala Xinabajul coffees take note: convincing cocoa and nut flavors at City+/Full City, sucanat, corn syrup, toasted sesame, with moderate tea-like acidity and buoyant body. City+ to Full City+. Good for espresso., Wet Washed, Bourbon"
Tanzania Nitin Estate AA,https://www.sweetmarias.com/tanzania-nitin-estate-aa-6816.html,"Raw sugar sweetness is the dominant flavor, highlighted by restrained top notes of herbal tea, tart red currant, and a subtle citrus highlights that informs the acidic impression. City to City+.",Wet Washed,Bourbon,"Tanzania Nitin Estate AA, Raw sugar sweetness is the dominant flavor, highlighted by restrained top notes of herbal tea, tart red currant, and a subtle citrus highlights that informs the acidic impression. City to City+., Wet Washed, Bourbon","Raw sugar sweetness is the dominant flavor, highlighted by restrained top notes of herbal tea, tart red currant, and a subtle citrus highlights that informs the acidic impression. City to City+., Wet Washed, Bourbon"
Tanzania Nitin Estate Peaberry,https://www.sweetmarias.com/tanzania-nitin-estate-peaberry-6815.html,"A compact flavor profile, classic washed attributes like bittersweet burned sugars, and hints of black currant tea, mild citrus, and tea-like tannic sensation add subtle complexity to the background. City to Full City.",Wet Washed,Bourbon,"Tanzania Nitin Estate Peaberry, A compact flavor profile, classic washed attributes like bittersweet burned sugars, and hints of black currant tea, mild citrus, and tea-like tannic sensation add subtle complexity to the background. City to Full City., Wet Washed, Bourbon","A compact flavor profile, classic washed attributes like bittersweet burned sugars, and hints of black currant tea, mild citrus, and tea-like tannic sensation add subtle complexity to the background. City to Full City., Wet Washed, Bourbon"
